rank,Company,Domain,City,State,TEU,Industry
1,Intl Pet Supplies And,petco.com,San Diego,CA,4036,Specialty Retail
2,Living Spaces Furniture,livingspaces.com,La Mirada,CA,3832,Specialty Retail
3,Evenflo Co. Inc.,gbinternational.com.hk,Ontario,CA,2918,Household Durables
4,Zodiac Pool Systems Inc.,fluidra.com,Vista,CA,2513,Leisure Products
5,Birkenstock Usa,lcatterton.com,Novato,CA,2421,"Textiles, Apparel and Luxury Goods"
6,Design Within Reach,millerknoll.com,San Francisco,CA,2133,Specialty Retail
7,Mad Engine Llc,madengine.com,San Diego,CA,2044,"Textiles, Apparel and Luxury Goods"
8,Sceptre,sceptre.com,City of Industry,CA,1783,Household Durables
9,Keepcool Usa Llc,keepcoolbags.com,Lafayette,CA,1714,"Textiles, Apparel and Luxury Goods"
10,Sonos Inc.,sonos.com,,CA,1625,Household Durables
11,Fashion Nova,fashionnova.com,Los Angeles,CA,1521,Specialty Retail
12,Fender Musical Instruments Corp.,fender.com,Ontario,CA,1408,Leisure Products
13,Sony Interactive Entertainment,sony.com,Foster City,CA,1392,Household Durables
14,"E&E Co., Ltd.",ee1994.com,Fremont,CA,1376,Household Durables
15,Homelegance Inc.,homelegance.com,Santa Fe Springs,CA,1344,Specialty Retail
16,Tcw Trends Inc.,tcwtrends.com,Torrance,CA,1335,"Textiles, Apparel and Luxury Goods"
17,Ergomotion Inc.,keeson.com,Santa Barbara,CA,1274,Household Durables
18,Zinus Inc.,zinus.co.kr,Tracy,CA,1232,Household Durables
19,Romeo & Juliette Inc.,bearpaw.com,Citrus Heights,CA,1170,"Textiles, Apparel and Luxury Goods"
20,Guess Inc.,guess.com,Los Angeles,CA,1167,Specialty Retail
21,Boot Barn,bootbarn.com,Irvine,CA,1096,Specialty Retail
22,Golden Designs,goldendesigninc.com,Ontario,CA,1060,Leisure Products
23,Yamaha Corporation Of America,yamaha.com,Buena Park,CA,1030,Leisure Products
24,Ardmore Home Design Llc,madegoods.com,Hacienda Heights,CA,1017,Household Durables
25,Fam Llc,fambrands.com,Los Angeles,CA,1000,"Textiles, Apparel and Luxury Goods"
26,Haitai Inc.,haitaiusa.com,Montebello,CA,993,Specialty Retail
27,Topway Global Inc.,watts.com,Brea,CA,992,Household Durables
28,Nine Stars Group (Usa.) Inc.,ninestarsusa.com,Pomona,CA,988,Specialty Retail
29,Callaway Golf Company,topgolfcallawaybrands.com,Carlsbad,CA,924,Leisure Products
30,Style Melody Inc.,stylemelodyfashion.com,Vernon,CA,878,Specialty Retail
31,Hoist Fitness Systems,hoistfitness.com,Poway,CA,874,Leisure Products
32,Caba Design Corp.,cabadesign.co,Rancho Cordova,CA,868,Household Durables
33,Mki Enterprise Group,dongjian.cc,Corona,CA,867,Specialty Retail
34,Geekplus America Inc.,geekplus.com,Carlsbad,CA,793,"Textiles, Apparel and Luxury Goods"
35,Leon Max Inc.,maxstudio.com,Pasadena,CA,782,Specialty Retail
36,"Keeco, Llc.",hollandersleepproducts.com,Hayward,CA,752,Household Durables
37,Monoprice Inc.,cables.com.tw,Rancho Cucamonga,CA,743,Specialty Retail
38,Adc Solutions Auto Llc,typesauto.com,Costa Mesa,CA,729,Specialty Retail
39,Camping World,campingworld.com,Bakersfield,CA,717,Specialty Retail
40,Gale Pacific Usa Inc.,galepacific.com,Rancho Cucamonga,CA,703,Household Durables
41,Ac Infinity Inc.,acinfinity.com,City of Industry,CA,688,Household Durables
42,Grafiti Home Inc. (Dba 7 Th Avenue),grafitihome.com,Compton,CA,684,Household Durables
43,Hot Topic,hottopic.com,City of Industry,CA,674,Specialty Retail
44,Mor Furniture For Less,hkfoam.com,San Diego,CA,672,Specialty Retail
45,Entertainment Earth Inc.,entertainmentearth.com,Simi Valley,CA,667,Specialty Retail
46,E.L.F. Cosmetics Inc.,elfcosmetics.com,Ontario,CA,659,Specialty Retail
47,Nexgrill Industries Inc.,globalleisuregroup.com,Chino,CA,611,Household Durables
48,Levtex Llc.,wholesale.levtexhome.com,Santa Monica,CA,609,Household Durables
49,Ambiance Usa,ambianceapparel.us,Los Angeles,CA,603,"Textiles, Apparel and Luxury Goods"
50,Lulu And Georgia,luluandgeorgia.com,Bellflower,CA,583,Specialty Retail
51,Aico Amini Innovation Corp.,amini.com,Pico Rivera,CA,582,Household Durables
52,Childrens Apparel Network Ltd.,childrensapparelnetwork.com,Fontana,CA,579,"Textiles, Apparel and Luxury Goods"
53,Arcadia Beauty Labs Llc,sallybeautyholdings.com,Carson,CA,572,Specialty Retail
54,Sound United,masimo.com,Vista,CA,558,Household Durables
55,Superior Home Design Inc.,discounthwf.com,Los Angeles,CA,556,Specialty Retail
56,Austin Pang Gloves Mfg. (Usa) Corp.,johnsonwilshire.com,Santa Fe Springs,CA,555,"Textiles, Apparel and Luxury Goods"
57,Fabletics Llc,ibinc.com,El Segundo,CA,550,"Textiles, Apparel and Luxury Goods"
58,Peag Llc,jlab.com,Carlsbad,CA,545,Household Durables
59,Topson Downs Of California Inc.,topsondowns.com,Culver City,CA,545,"Textiles, Apparel and Luxury Goods"
60,Colosseum Athletics Corp.,colosseumusa.com,Compton,CA,538,"Textiles, Apparel and Luxury Goods"
61,Bexco Enterprises,milliondollarbaby.com,Montebello,CA,522,Household Durables
