rank,Consignee Name,City,State,Ultimate Parent,Domain,Apollo-ready,Shipments,TEU,VALUE(usd)
1,Lg Electronics Usa. Inc. 1000 Sy,Englewood Cliffs,New Jersey,Lg Electronics Inc.,lg.com,Y,49169,142613.4,3462910881.64
2,Curtis & Co.,Toronto,Ontario,Curtis International Ltd.,curtisint.com,Y,976,8733.0,149635986.34
3,Flexsteel Industries Inc.,Dubuque,Iowa,"Flexsteel Industries, Inc.",flexsteel.com,Y,3264,7061.2,80245690.12
4,Tramontina Usa Inc.,Sugar Land,Texas,Tramontina S.A. Cutelaria,tramontina.com.br,Y,969,6832.5,161819800.04
5,Tempur Pedic North America Llc,Lexington,Kentucky,Somnigroup International Inc.,somnigroup.com,Y,1130,5105.0,100892779.94
6,Harman International,Moreno Valley,California,"Samsung Electronics Co., Ltd.",samsung.com,Y,1504,5069.3,409375159.0
7,Leggett & Platt Inc.,El Paso,Texas,"Leggett & Platt, Incorporated",leggett.com,Y,1857,4077.4,92898825.75
8,Liberty Furniture Atlanta,Atlanta,Georgia,"Liberty Furniture Industries, Inc.",mylibertyfurniture.com,Y,1076,3627.5,46015981.57
9,Stihl Inc.,Virginia Beach,Virginia,Stihl Holding Ag & Co. Kg,stihl.com,Y,5998,3556.7,248878398.77
10,Engineered Floors Llc,Dalton,Georgia,"Engineered Floors, Llc",engineeredfloorsllc.com,Y,1017,3417.9,509596461.62
11,Resident Home Llc,,,"Ashley Home, Inc.",,N,1704,3407.2,78767479.08
12,Groupe Seb Usa,Millville,New Jersey,Groupe Seb Usa,,N,1258,3361.6,66049014.23
13,Electrolux Home Care Products,El Paso,Texas,"Midea Group Co., Ltd.",midea.com,Y,938,3346.4,54510806.6
14,Loloi Rugs,Dallas,Texas,"Loloi, Inc.",loloirugs.com,Y,1639,3002.9,85862158.59
15,Evenflo Co. Inc.,Ontario,California,Goodbaby International Holdings Limited,gbinternational.com.hk,Y,596,2918.6,53271263.25
16,Home Dynamix Llc,Elk Grove Village,Illinois,Town & Country Linen Corp.,tncliving.com,Y,1334,2874.8,72570988.14
